gene.name,adj.pvals,lFC,subpopulation
DAB1,0,1.138272233,Ex0
ST6GALNAC5,0,0.68265007,Ex0
DPYD,0,0.604381037,Ex0
RPS6KC1,0,0.639586954,Ex0
CHRM3,0,0.530655173,Ex0
SMYD3,0,0.508785267,Ex0
HPCAL1,0,0.969943594,Ex0
DTNB,0,0.735792383,Ex0
LRRTM4,0,0.625491353,Ex0
KIAA1211L,0,0.67344335,Ex0
CNTNAP5,0,0.531350649,Ex0
R3HDM1,0,0.546596868,Ex0
GALNT13,0,1.117247598,Ex0
ZNF804A,0,0.914196345,Ex0
GULP1,0,0.881941443,Ex0
SERPINE2,0,1.341721162,Ex0
FAM19A1,0,0.556684556,Ex0
ROBO1,0,1.09557216,Ex0
EPHA6,0,1.44147442,Ex0
PVRL3,0,0.971500673,Ex0
SLC12A8,0,1.286305177,Ex0
TMEM108,0,0.835354982,Ex0
MED12L,0,0.731311864,Ex0
SLIT2,0,0.83763369,Ex0
NDST3,0,1.145563665,Ex0
NR3C2,0,0.750452957,Ex0
SPOCK3,0,0.894828646,Ex0
GALNTL6,0,1.162747459,Ex0
CDH18,0,0.767784286,Ex0
CDH12,0,0.548373109,Ex0
CDH9,0,1.257364489,Ex0
PDZD2,0,1.519547881,Ex0
PDE8B,0,1.120624314,Ex0
RASGRF2,0,1.409120458,Ex0
KCNN2,0,1.092185699,Ex0
KCTD16,0,0.602974798,Ex0
SGCD,0,1.083178752,Ex0
FAM153B,0,0.896777037,Ex0
FAM153C,0,0.967612711,Ex0
KIF13A,0,1.171226339,Ex0
BTBD9,0,0.770134728,Ex0
TRERF1,0,0.895500786,Ex0
CDK19,0,0.808646274,Ex0
EPB41L2,0,0.89771761,Ex0
PDE7B,0,1.006638373,Ex0
MAP7,0,0.644050255,Ex0
MAP3K5,0,1.099978806,Ex0
SDK1,0,1.130421019,Ex0
THSD7A,0,1.533382665,Ex0
DGKB,0,0.982468575,Ex0
RAPGEF5,0,0.525394165,Ex0
CALN1,0,0.761676773,Ex0
SEMA3C,0,1.657109394,Ex0
LAMB1,0,1.208406651,Ex0
KCND2,0,0.88603113,Ex0
TMEM178B,0,0.771557067,Ex0
DPP6,0,0.594490616,Ex0
IL1RAPL1,0,0.664475893,Ex0
DIAPH2,0,0.966086155,Ex0
ZFPM2,0,0.582826281,Ex0
PTK2,0,0.5394678,Ex0
RFX3,0,0.864005056,Ex0
GLIS3,0,1.553111698,Ex0
PIP5K1B,0,1.046627647,Ex0
DAPK1,0,0.761620539,Ex0
GARNL3,0,0.79739162,Ex0
GALNT18,0,0.823948901,Ex0
GRIA4,0,1.057775035,Ex0
KIRREL3,0,0.821580676,Ex0
CACNB2,0,0.739582684,Ex0
NEBL,0,0.587838326,Ex0
KIAA1217,0,0.786135248,Ex0
SORBS1,0,0.690966368,Ex0
PTPRO,0,0.800535965,Ex0
PLEKHA5,0,0.759789547,Ex0
ITPR2,0,0.930881623,Ex0
TESPA1,0,0.790519151,Ex0
PPFIA2,0,0.599001855,Ex0
CUX2,0,1.602566568,Ex0
TMEM132B,0,0.622163017,Ex0
TMEM132D,0,0.688685366,Ex0
GPC6,0,1.397564978,Ex0
HS6ST3,0,1.113694679,Ex0
STXBP6,0,1.40184264,Ex0
SIPA1L1,0,0.724623911,Ex0
RGS6,0,0.664795892,Ex0
FLRT2,0,0.500372111,Ex0
SLC24A4,0,1.214518589,Ex0
PPP4R4,0,1.048803839,Ex0
MEIS2,0,1.453056704,Ex0
FRMD5,0,0.650631821,Ex0
NTRK3,0,0.773384766,Ex0
CNGB1,0,1.390389521,Ex0
CDH13,0,0.801974979,Ex0
RP11-219A15.1,0,1.053802008,Ex0
ASIC2,0,0.502873308,Ex0
CA10,0,0.836123806,Ex0
TANC2,0,0.721784495,Ex0
PRKCA,0,1.000275813,Ex0
GNAL,0,1.642046846,Ex0
GAREM,0,1.102439265,Ex0
CBLN2,0,1.348827746,Ex0
LAMP5,0,1.352471383,Ex0
CDH22,0,0.963215345,Ex0
SYN3,0,0.908834495,Ex0
BICC1,3.41E-305,0.942585163,Ex0
TMOD1,5.92E-305,0.940091634,Ex0
ARNT2,1.44E-301,0.601999681,Ex0
HYDIN,1.58E-298,0.702869202,Ex0
CUX1,2.55E-295,0.584531396,Ex0
ART3,2.12E-294,1.152238559,Ex0
MAN1A1,1.71E-293,0.883924992,Ex0
KCTD1,3.92E-293,0.590809884,Ex0
GRID2,1.48E-288,0.562873355,Ex0
ABLIM1,1.63E-286,0.785514133,Ex0
NLK,2.43E-286,0.532137251,Ex0
CIT,3.29E-282,0.500308988,Ex0
KCNIP2,9.86E-281,1.093973741,Ex0
SGK223,9.22E-276,0.989963442,Ex0
KSR2,2.85E-275,0.501112744,Ex0
SLC4A4,7.27E-275,1.00058797,Ex0
MAPK4,1.78E-274,0.912841438,Ex0
HHAT,1.54E-270,1.413062089,Ex0
CEP126,6.21E-269,0.723276706,Ex0
P2RX7,2.40E-267,0.889752645,Ex0
COL26A1,3.32E-266,0.774214477,Ex0
BRINP2,2.49E-263,0.661366224,Ex0
PCDH8,5.31E-263,1.127261492,Ex0
PTPN13,1.20E-262,0.974454304,Ex0
MAML2,2.88E-261,1.325257975,Ex0
ERC1,2.91E-261,0.58506497,Ex0
GREB1L,3.44E-260,1.459284986,Ex0
TTC28,2.21E-254,0.593882365,Ex0
SMAD3,2.30E-254,0.895611194,Ex0
VSTM2A,2.94E-253,0.585176437,Ex0
MICAL3,1.27E-252,0.543136267,Ex0
CTDSPL,6.83E-250,0.589175907,Ex0
SPECC1,5.21E-245,0.748112624,Ex0
PRELID2,1.05E-243,0.992068272,Ex0
ITGA9,1.47E-241,0.918012628,Ex0
